,-2226,-2225,-2224,-2223,-2222,-2221,-2220,-2219,-2218,-2217,-2216,-2215,-2214,-2213,-2212,-2211,-2210,-2209,-2208,-2207,-2206,-2205,-2204,-2203,-2202,-2201,-2200,-2199,-2198,-2197,-2196,-2195,-2194,-2193,-2192,-2191,-2190,-2189,-2188,-2187,-2186,-2185,-2184,-2183,-2182,-2181,-2180,-2179,-2178,-2177,-2176,-2175,-2174,-2173,-2172,-2171,-2170,-2169,-2168,-2167,-2166,-2165,-2164,-2163,-2162,-2161,-2160,-2159,-2158,-2157,-2156,-2155,-2154,-2153,-2152,-2151,-2150,-2149,-2148,-2147,-2146,-2145,-2144,-2143,-2142,-2141,-2140,-2139,-2138,-2137,-2136,-2135,-2134,-2133,-2132,-2131,-2130,-2129,-2128,-2127,-2126,-2125,-2124,-2123,-2122,-2121,-2120,-2119,-2118,-2117,-2116,-2115,-2114,-2113,-2112,-2111,-2110,-2109,-2108,-2107,-2106,-2105,-2104,-2103,-2102,-2101,-2100,-2099,-2098,-2097,-2096,-2095,-2094,-2093,-2092,-2091,-2090,-2089,-2088,-2087
-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Victims,,,,C,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,10,,,X,8,collapse plate,,,P,62,victim detection plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,10,,,D,11,falling rubble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe A,Safe A,Safe A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe C,Safe C,Safe C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safe B,Safe B,Safe B,Safe B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,,F,F,F,F,F,,,p,,,,,,,,,F,,F,F,F,F,RR,R,RR,RRR,,,,,,,F,,,,,,,,,F,RRR,,,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,RR,RR,,,,,,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,F,,,,,,,,,,,,,,,F,F,,,B,RRR,,RRR,,,,,,,RR,,,F,,,,,,,,,F,RR,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,RR,,,,,,,,,,,RRR,RRR,,,,,,,,,,,,,,RR,RRR,RRR,RRR,RR,,,,,,,,,,,,,,,,,,,,,,,,
1,,,F,,,,,,,,,,,,,,F,F,F,,RR,A,,,,,,,,F,,RRR,,,F,,,,,,,,,F,RRR,RR,RRR,RR,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,F,,,,,,,,,,,,,,F,F,F,,RR,,RRR,,,,,,,F,,RR,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,RR,,,,,,,,,,F,,,,F,F,F,,RR,RRR,RR,,,,,,,F,,RRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,RR,,,,,,,
4,,,RR,,,,,,,,,,F,,,,,F,F,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,,,,,
5,,,RRR,,,,,,,,,,F,F,F,F,,,F,,F,F,F,F,F,,,,,,,,,,,,p,,,,p,,,,,,,,,,F,,,F,F,F,F,,F,F,F,F,,C,F,F,F,F,,,,,,,,F,F,,,,RR,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,
6,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,F,F,F,F,,,F,F,F,F,,,F,F,F,,,,F,,,,,RR,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,,p,,,
7,,,,,,,,,,F,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,F,,,,,F,F,F,,,,,,F,,F,F,F,F,,,F,F,F,F,,,,F,,,,,,,,,,RR,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,RR,,,,,,,
8,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,F,,,,,RR,,,,,RR,,,,R,,,A,,,,,,,,,,,,,,,,,,,,,,RR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,RRR,,,,,,,
9,,,,,,,F,F,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,RRR,RR,RRR,RR,F,F,F,,,,,,,,,,,,,X,F,F,F,F,,F,F,F,,,,,,,,,,,,,,,,,,RRR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,,,,p,,,,,p,,,,F,F,F,F,,F,F,F,,,p,,,,,,,,,,,,F,,,RR,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RRR,,
11,,,RRR,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,F,F,F,F,,F,F,F,RR,,,,,,,,,,,,,,F,,,RRR,F,,,,,,A,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,X,,B,,,,,,RRR,,
12,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,p,,F,F,F,F,,R,R,R,,,,,,,,,,,,,,,F,,,,F,,,RR,,RR,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,,,,,,,RR,,
13,,,,,,,,,RR,RR,,p,,,,,,,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RR,,RRR,,,,,,,,,,,,,,,,,,,RRR,,,,,,,,,,,,,,,RRR,,,,,,,,RR,RR,
