LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2215 60 -1,block_victim_1,NA,NA,NA,victim
-2214 60 -1,gravel,NA,NA,NA,obstruction
-2210 60 -1,block_victim_1,NA,NA,NA,victim
-2209 60 -1,gravel,NA,NA,NA,obstruction
-2209 61 -1,gravel,NA,NA,NA,obstruction
-2202 60 -1,block_victim_1,NA,NA,NA,victim
-2200 60 -1,gravel,NA,NA,NA,obstruction
-2200 61 -1,gravel,NA,NA,NA,obstruction
-2200 62 -1,gravel,NA,NA,NA,obstruction
-2196 60 -1,block_victim_1,NA,NA,NA,victim
-2193 60 -1,block_victim_1,NA,NA,NA,victim
-2186 60 -1,gravel,NA,NA,NA,obstruction
-2186 61 -1,gravel,NA,NA,NA,obstruction
-2181 60 -1,gravel,NA,NA,NA,obstruction
-2181 61 -1,gravel,NA,NA,NA,obstruction
-2210 60 0,gravel,NA,NA,NA,obstruction
-2206 60 0,block_victim_1,NA,NA,NA,victim
-2200 60 0,gravel,NA,NA,NA,obstruction
-2200 61 0,gravel,NA,NA,NA,obstruction
-2181 60 0,gravel,NA,NA,NA,obstruction
-2181 61 0,gravel,NA,NA,NA,obstruction
-2181 62 0,gravel,NA,NA,NA,obstruction
-2221 60 1,gravel,NA,NA,NA,obstruction
-2220 60 1,block_victim_1,NA,NA,NA,victim
-2206 60 1,gravel,NA,NA,NA,obstruction
-2206 61 1,gravel,NA,NA,NA,obstruction
-2206 62 1,gravel,NA,NA,NA,obstruction
-2205 60 1,gravel,NA,NA,NA,obstruction
-2205 61 1,gravel,NA,NA,NA,obstruction
-2204 60 1,gravel,NA,NA,NA,obstruction
-2204 61 1,gravel,NA,NA,NA,obstruction
-2204 62 1,gravel,NA,NA,NA,obstruction
-2203 60 1,gravel,NA,NA,NA,obstruction
-2203 61 1,gravel,NA,NA,NA,obstruction
-2202 60 1,gravel,NA,NA,NA,obstruction
-2202 61 1,gravel,NA,NA,NA,obstruction
-2202 62 1,gravel,NA,NA,NA,obstruction
-2201 60 1,gravel,NA,NA,NA,obstruction
-2201 61 1,gravel,NA,NA,NA,obstruction
-2200 60 1,gravel,NA,NA,NA,obstruction
-2200 61 1,gravel,NA,NA,NA,obstruction
-2200 62 1,gravel,NA,NA,NA,obstruction
-2196 60 1,gravel,NA,NA,NA,obstruction
-2196 61 1,gravel,NA,NA,NA,obstruction
-2195 60 1,gravel,NA,NA,NA,obstruction
-2195 61 1,gravel,NA,NA,NA,obstruction
-2195 62 1,gravel,NA,NA,NA,obstruction
-2194 60 1,gravel,NA,NA,NA,obstruction
-2194 61 1,gravel,NA,NA,NA,obstruction
-2193 60 1,gravel,NA,NA,NA,obstruction
-2193 61 1,gravel,NA,NA,NA,obstruction
-2193 62 1,gravel,NA,NA,NA,obstruction
-2181 60 1,gravel,NA,NA,NA,obstruction
-2181 61 1,gravel,NA,NA,NA,obstruction
-2202 59 2,block_rubble_collapse,NA,-2199 60 6 -2199 61 6,NA,collapse threat
-2181 60 2,gravel,NA,NA,NA,obstruction
-2181 61 2,gravel,NA,NA,NA,obstruction
-2181 62 2,gravel,NA,NA,NA,obstruction
-2202 60 3,gravel,NA,NA,NA,obstruction
-2202 61 3,gravel,NA,NA,NA,obstruction
-2202 62 3,gravel,NA,NA,NA,obstruction
-2201 60 3,gravel,NA,NA,NA,obstruction
-2201 61 3,gravel,NA,NA,NA,obstruction
-2201 62 3,gravel,NA,NA,NA,obstruction
-2196 59 3,block_rubble_collapse,NA,-2191 60 5 -2191 61 5,NA,collapse threat
-2195 60 3,gravel,NA,NA,NA,obstruction
-2195 61 3,gravel,NA,NA,NA,obstruction
-2195 62 3,gravel,NA,NA,NA,obstruction
-2181 60 3,gravel,NA,NA,NA,obstruction
-2181 61 3,gravel,NA,NA,NA,obstruction
-2224 60 4,block_victim_1,NA,NA,NA,victim
-2202 60 4,gravel,NA,NA,NA,obstruction
-2202 61 4,gravel,NA,NA,NA,obstruction
-2202 62 4,gravel,NA,NA,NA,obstruction
-2215 60 5,block_victim_1,NA,NA,NA,victim
-2224 60 6,gravel,NA,NA,NA,obstruction
-2224 61 6,gravel,NA,NA,NA,obstruction
-2224 62 6,gravel,NA,NA,NA,obstruction
-2223 60 6,gravel,NA,NA,NA,obstruction
-2223 61 6,gravel,NA,NA,NA,obstruction
-2222 60 6,gravel,NA,NA,NA,obstruction
-2222 61 6,gravel,NA,NA,NA,obstruction
-2222 62 6,gravel,NA,NA,NA,obstruction
-2221 60 6,gravel,NA,NA,NA,obstruction
-2221 61 6,gravel,NA,NA,NA,obstruction
-2220 60 6,gravel,NA,NA,NA,obstruction
-2219 60 6,gravel,NA,NA,NA,obstruction
-2219 61 6,gravel,NA,NA,NA,obstruction
-2219 62 6,gravel,NA,NA,NA,obstruction
-2218 60 6,gravel,NA,NA,NA,obstruction
-2218 61 6,gravel,NA,NA,NA,obstruction
-2163 60 6,gravel,NA,NA,NA,obstruction
-2163 61 6,gravel,NA,NA,NA,obstruction
-2163 62 6,gravel,NA,NA,NA,obstruction
-2163 60 7,gravel,NA,NA,NA,obstruction
-2163 61 7,gravel,NA,NA,NA,obstruction
-2171 60 8,gravel,NA,NA,NA,obstruction
-2171 61 8,gravel,NA,NA,NA,obstruction
-2171 62 8,gravel,NA,NA,NA,obstruction
-2166 60 8,gravel,NA,NA,NA,obstruction
-2166 61 8,gravel,NA,NA,NA,obstruction
-2166 62 8,gravel,NA,NA,NA,obstruction
-2182 60 9,gravel,NA,NA,NA,obstruction
-2182 61 9,gravel,NA,NA,NA,obstruction
-2181 60 9,gravel,NA,NA,NA,obstruction
-2181 61 9,gravel,NA,NA,NA,obstruction
-2181 62 9,gravel,NA,NA,NA,obstruction
-2180 60 9,gravel,NA,NA,NA,obstruction
-2180 61 9,gravel,NA,NA,NA,obstruction
-2179 60 9,gravel,NA,NA,NA,obstruction
-2179 61 9,gravel,NA,NA,NA,obstruction
-2179 62 9,gravel,NA,NA,NA,obstruction
-2182 60 10,gravel,NA,NA,NA,obstruction
-2154 60 10,gravel,NA,NA,NA,obstruction
-2154 61 10,gravel,NA,NA,NA,obstruction
-2154 62 10,gravel,NA,NA,NA,obstruction
-2163 60 11,gravel,NA,NA,NA,obstruction
-2163 61 11,gravel,NA,NA,NA,obstruction
-2163 62 11,gravel,NA,NA,NA,obstruction
-2133 60 11,block_victim_1,NA,NA,NA,victim
-2132 60 11,gravel,NA,NA,NA,obstruction
-2132 61 11,gravel,NA,NA,NA,obstruction
-2132 62 11,gravel,NA,NA,NA,obstruction
-2113 60 11,gravel,NA,NA,NA,obstruction
-2113 61 11,gravel,NA,NA,NA,obstruction
-2113 62 11,gravel,NA,NA,NA,obstruction
-2109 60 11,block_victim_1,NA,NA,NA,victim
-2106 60 11,block_victim_1,NA,NA,NA,victim
-2098 60 11,block_victim_1,NA,NA,NA,victim
-2096 60 11,gravel,NA,NA,NA,obstruction
-2096 61 11,gravel,NA,NA,NA,obstruction
-2092 60 11,block_victim_1,NA,NA,NA,victim
-2157 60 12,gravel,NA,NA,NA,obstruction
-2156 60 12,gravel,NA,NA,NA,obstruction
-2155 60 12,gravel,NA,NA,NA,obstruction
-2132 60 12,gravel,NA,NA,NA,obstruction
-2132 61 12,gravel,NA,NA,NA,obstruction
-2113 60 12,gravel,NA,NA,NA,obstruction
-2113 61 12,gravel,NA,NA,NA,obstruction
-2132 60 13,gravel,NA,NA,NA,obstruction
-2132 61 13,gravel,NA,NA,NA,obstruction
-2132 62 13,gravel,NA,NA,NA,obstruction
-2113 60 13,gravel,NA,NA,NA,obstruction
-2113 61 13,gravel,NA,NA,NA,obstruction
-2113 62 13,gravel,NA,NA,NA,obstruction
-2099 60 13,gravel,NA,NA,NA,obstruction
-2099 61 13,gravel,NA,NA,NA,obstruction
-2098 60 13,gravel,NA,NA,NA,obstruction
-2098 61 13,gravel,NA,NA,NA,obstruction
-2098 62 13,gravel,NA,NA,NA,obstruction
-2097 60 13,gravel,NA,NA,NA,obstruction
-2097 61 13,gravel,NA,NA,NA,obstruction
-2096 60 13,gravel,NA,NA,NA,obstruction
-2096 61 13,gravel,NA,NA,NA,obstruction
-2096 62 13,gravel,NA,NA,NA,obstruction
-2095 60 13,gravel,NA,NA,NA,obstruction
-2095 61 13,gravel,NA,NA,NA,obstruction
-2094 60 13,gravel,NA,NA,NA,obstruction
-2094 61 13,gravel,NA,NA,NA,obstruction
-2094 62 13,gravel,NA,NA,NA,obstruction
-2093 60 13,gravel,NA,NA,NA,obstruction
-2093 61 13,gravel,NA,NA,NA,obstruction
-2092 60 13,gravel,NA,NA,NA,obstruction
-2092 61 13,gravel,NA,NA,NA,obstruction
-2092 62 13,gravel,NA,NA,NA,obstruction
-2205 60 14,gravel,NA,NA,NA,obstruction
-2205 61 14,gravel,NA,NA,NA,obstruction
-2205 62 14,gravel,NA,NA,NA,obstruction
-2204 60 14,gravel,NA,NA,NA,obstruction
-2204 61 14,gravel,NA,NA,NA,obstruction
-2203 60 14,gravel,NA,NA,NA,obstruction
-2203 61 14,gravel,NA,NA,NA,obstruction
-2203 62 14,gravel,NA,NA,NA,obstruction
-2202 60 14,gravel,NA,NA,NA,obstruction
-2202 61 14,gravel,NA,NA,NA,obstruction
-2201 60 14,gravel,NA,NA,NA,obstruction
-2201 61 14,gravel,NA,NA,NA,obstruction
-2201 62 14,gravel,NA,NA,NA,obstruction
-2200 60 14,gravel,NA,NA,NA,obstruction
-2200 61 14,gravel,NA,NA,NA,obstruction
-2199 60 14,gravel,NA,NA,NA,obstruction
-2199 61 14,gravel,NA,NA,NA,obstruction
-2199 62 14,gravel,NA,NA,NA,obstruction
-2198 60 14,gravel,NA,NA,NA,obstruction
-2198 61 14,gravel,NA,NA,NA,obstruction
-2197 60 14,gravel,NA,NA,NA,obstruction
-2197 61 14,gravel,NA,NA,NA,obstruction
-2197 62 14,gravel,NA,NA,NA,obstruction
-2196 60 14,gravel,NA,NA,NA,obstruction
-2196 61 14,gravel,NA,NA,NA,obstruction
-2182 60 14,block_victim_1,NA,NA,NA,victim
-2176 60 14,block_victim_1,NA,NA,NA,victim
-2169 60 14,block_victim_proximity,NA,NA,NA,victim
-2162 60 14,block_victim_proximity,NA,NA,NA,victim
-2132 60 14,gravel,NA,NA,NA,obstruction
-2132 61 14,gravel,NA,NA,NA,obstruction
-2113 60 14,gravel,NA,NA,NA,obstruction
-2113 61 14,gravel,NA,NA,NA,obstruction
-2109 60 14,gravel,NA,NA,NA,obstruction
-2109 61 14,gravel,NA,NA,NA,obstruction
-2108 60 14,gravel,NA,NA,NA,obstruction
-2108 61 14,gravel,NA,NA,NA,obstruction
-2108 62 14,gravel,NA,NA,NA,obstruction
-2107 60 14,gravel,NA,NA,NA,obstruction
-2107 61 14,gravel,NA,NA,NA,obstruction
-2106 60 14,gravel,NA,NA,NA,obstruction
-2106 61 14,gravel,NA,NA,NA,obstruction
-2106 62 14,gravel,NA,NA,NA,obstruction
-2208 60 15,gravel,NA,NA,NA,obstruction
-2208 61 15,gravel,NA,NA,NA,obstruction
-2205 60 15,gravel,NA,NA,NA,obstruction
-2205 61 15,gravel,NA,NA,NA,obstruction
-2196 60 15,gravel,NA,NA,NA,obstruction
