LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2193 60 -1,gravel,NA,NA,NA,obstruction
-2193 61 -1,gravel,NA,NA,NA,obstruction
-2213 60 0,gravel,NA,NA,NA,obstruction
-2203 60 0,gravel,NA,NA,NA,obstruction
-2203 61 0,gravel,NA,NA,NA,obstruction
-2175 60 0,gravel,NA,NA,NA,obstruction
-2175 61 0,gravel,NA,NA,NA,obstruction
-2221 60 1,gravel,NA,NA,NA,obstruction
-2212 60 1,gravel,NA,NA,NA,obstruction
-2206 60 1,block_victim_1,NA,NA,NA,victim
-2203 60 1,gravel,NA,NA,NA,obstruction
-2203 61 1,gravel,NA,NA,NA,obstruction
-2203 62 1,gravel,NA,NA,NA,obstruction
-2200 60 1,gravel,NA,NA,NA,obstruction
-2200 61 1,gravel,NA,NA,NA,obstruction
-2195 60 1,block_victim_proximity,NA,NA,NA,victim
-2221 60 2,gravel,NA,NA,NA,obstruction
-2214 60 2,block_victim_1,NA,NA,NA,victim
-2203 60 2,gravel,NA,NA,NA,obstruction
-2203 61 2,gravel,NA,NA,NA,obstruction
-2200 60 2,gravel,NA,NA,NA,obstruction
-2200 61 2,gravel,NA,NA,NA,obstruction
-2200 62 2,gravel,NA,NA,NA,obstruction
-2196 60 2,gravel,NA,NA,NA,obstruction
-2196 61 2,gravel,NA,NA,NA,obstruction
-2196 62 2,gravel,NA,NA,NA,obstruction
-2195 60 2,gravel,NA,NA,NA,obstruction
-2195 61 2,gravel,NA,NA,NA,obstruction
-2194 60 2,gravel,NA,NA,NA,obstruction
-2194 61 2,gravel,NA,NA,NA,obstruction
-2194 62 2,gravel,NA,NA,NA,obstruction
-2175 60 2,gravel,NA,NA,NA,obstruction
-2175 61 2,gravel,NA,NA,NA,obstruction
-2175 62 2,gravel,NA,NA,NA,obstruction
-2222 60 3,block_victim_1,NA,NA,NA,victim
-2220 60 3,gravel,NA,NA,NA,obstruction
-2203 60 3,gravel,NA,NA,NA,obstruction
-2203 61 3,gravel,NA,NA,NA,obstruction
-2203 62 3,gravel,NA,NA,NA,obstruction
-2096 60 3,gravel,NA,NA,NA,obstruction
-2096 61 3,gravel,NA,NA,NA,obstruction
-2206 60 4,block_victim_1,NA,NA,NA,victim
-2203 60 4,gravel,NA,NA,NA,obstruction
-2203 61 4,gravel,NA,NA,NA,obstruction
-2199 59 4,block_rubble_collapse,NA,-2199 60 6 -2199 61 6,NA,collapse threat
-2096 60 4,gravel,NA,NA,NA,obstruction
-2096 61 4,gravel,NA,NA,NA,obstruction
-2096 62 4,gravel,NA,NA,NA,obstruction
-2183 60 5,gravel,NA,NA,NA,obstruction
-2183 61 5,gravel,NA,NA,NA,obstruction
-2183 62 5,gravel,NA,NA,NA,obstruction
-2096 60 5,gravel,NA,NA,NA,obstruction
-2096 61 5,gravel,NA,NA,NA,obstruction
-2224 60 6,gravel,NA,NA,NA,obstruction
-2224 61 6,gravel,NA,NA,NA,obstruction
-2224 62 6,gravel,NA,NA,NA,obstruction
-2223 60 6,gravel,NA,NA,NA,obstruction
-2223 61 6,gravel,NA,NA,NA,obstruction
-2223 62 6,gravel,NA,NA,NA,obstruction
-2222 60 6,gravel,NA,NA,NA,obstruction
-2222 61 6,gravel,NA,NA,NA,obstruction
-2222 62 6,gravel,NA,NA,NA,obstruction
-2221 60 6,gravel,NA,NA,NA,obstruction
-2221 61 6,gravel,NA,NA,NA,obstruction
-2220 60 6,gravel,NA,NA,NA,obstruction
-2220 61 6,gravel,NA,NA,NA,obstruction
-2219 60 6,gravel,NA,NA,NA,obstruction
-2218 60 6,gravel,NA,NA,NA,obstruction
-2096 60 6,gravel,NA,NA,NA,obstruction
-2096 61 6,gravel,NA,NA,NA,obstruction
