LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2145 60 -21,block_victim_1,,,,
-2141 60 -29,block_victim_1,,,,
-2139 59 -33,block_freeze_player,,,,
-2139 60 -35,gravel,,,,
-2139 61 -35,gravel,,,,
-2139 62 -35,gravel,,,,
-2140 60 -35,gravel,,,,
-2140 61 -35,gravel,,,,
-2140 62 -35,gravel,,,,
-2141 60 -35,gravel,,,,
-2141 61 -35,gravel,,,,
-2141 62 -35,gravel,,,,
-2143 60 -41,block_victim_proximity,,,,
-2143 60 -48,block_victim_1,,,,
-2144 60 -49,gravel,,,,
-2144 61 -49,gravel,,,,
-2144 60 -48,gravel,,,,
-2144 61 -48,gravel,,,,
-2144 60 -47,gravel,,,,
-2144 61 -47,gravel,,,,
-2143 60 -47,gravel,,,,
-2143 61 -47,gravel,,,,
-2142 60 -47,gravel,,,,
-2142 61 -47,gravel,,,,
-2142 60 -48,gravel,,,,
-2142 61 -48,gravel,,,,
-2142 60 -49,gravel,,,,
-2142 61 -49,gravel,,,,
-2143 60 -49,gravel,,,,
-2143 61 -49,gravel,,,,
-2137 59 -34,redstone_block,,,,
-2137 60 -33,block_victim_1,,,,
-2137 60 -30,gravel,,,,
-2137 61 -30,gravel,,,,
-2137 62 -30,gravel,,,,
-2136 60 -30,gravel,,,,
-2136 61 -30,gravel,,,,
-2136 62 -30,gravel,,,,
-2135 60 -30,gravel,,,,
-2135 61 -30,gravel,,,,
-2135 62 -30,gravel,,,,
-2134 60 -30,gravel,,,,
-2134 61 -30,gravel,,,,
-2134 62 -30,gravel,,,,
-2133 60 -30,gravel,,,,
-2133 61 -30,gravel,,,,
-2133 62 -30,gravel,,,,
-2137 60 -29,gravel,,,,
-2137 61 -29,gravel,,,,
-2137 62 -29,gravel,,,,
-2136 60 -29,gravel,,,,
-2136 61 -29,gravel,,,,
-2136 62 -29,gravel,,,,
-2135 60 -29,gravel,,,,
-2135 61 -29,gravel,,,,
-2135 62 -29,gravel,,,,
-2134 60 -29,gravel,,,,
-2134 61 -29,gravel,,,,
-2134 62 -29,gravel,,,,
-2133 60 -29,gravel,,,,
-2133 61 -29,gravel,,,,
-2133 62 -29,gravel,,,,
-2122 60 -28,block_victim_1,,,,
-2123 60 -33,gravel,,,,
-2123 61 -33,gravel,,,,
-2123 62 -33,gravel,,,,
-2123 60 -34,gravel,,,,
-2123 61 -34,gravel,,,,
-2123 62 -34,gravel,,,,
-2123 60 -35,gravel,,,,
-2123 61 -35,gravel,,,,
-2123 62 -35,gravel,,,,
-2122 60 -33,gravel,,,,
-2122 61 -33,gravel,,,,
-2122 62 -33,gravel,,,,
-2122 60 -34,gravel,,,,
-2122 61 -34,gravel,,,,
-2122 62 -34,gravel,,,,
-2122 60 -35,gravel,,,,
-2122 61 -35,gravel,,,,
-2122 62 -35,gravel,,,,
-2130 60 -42,block_victim_1,,,,
-2127 60 -40,block_victim_1,,,,
-2119 60 -42,block_victim_proximity,,,,
-2110 60 -49,gravel,,,,
-2109 60 -49,gravel,,,,
-2109 61 -49,gravel,,,,
-2109 60 -48,gravel,,,,
-2109 61 -48,gravel,,,,
-2108 60 -48,gravel,,,,
-2108 61 -48,gravel,,,,
-2108 60 -47,gravel,,,,
-2108 60 -49,block_victim_1,,,,
-2112 60 -29,gravel,,,,
-2112 61 -29,gravel,,,,
-2112 62 -29,gravel,,,,
-2111 60 -29,gravel,,,,
-2111 61 -29,gravel,,,,
-2111 62 -29,gravel,,,,
-2110 60 -29,gravel,,,,
-2110 61 -29,gravel,,,,
-2110 62 -29,gravel,,,,
-2109 60 -29,gravel,,,,
-2109 61 -29,gravel,,,,
-2109 62 -29,gravel,,,,
-2108 60 -29,gravel,,,,
-2108 61 -29,gravel,,,,
-2108 62 -29,gravel,,,,
-2108 60 -25,block_victim_1,,,,
-2105 60 -25,gravel,,,,
-2105 61 -25,gravel,,,,
-2105 62 -25,gravel,,,,
-2101 60 -29,block_victim_1,,,,
-2106 60 -35,block_victim_1,,,,
-2106 60 -42,gravel,,,,
-2106 61 -42,gravel,,,,
-2106 62 -42,gravel,,,,
-2106 60 -43,gravel,,,,
-2106 61 -43,gravel,,,,
-2106 62 -43,gravel,,,,
-2106 60 -44,gravel,,,,
-2106 61 -44,gravel,,,,
-2106 62 -44,gravel,,,,
-2131 60 -31,block_victim_1,,,,
