LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2215 59 58,block_signal_victim,NA,NA,A1,signal
-2215 59 51,block_signal_victim,NA,NA,A2,signal
-2215 59 45,block_signal_victim,NA,NA,A3,signal
-2190 59 50,block_signal_victim,NA,NA,B1,signal
-2211 59 50,block_signal_victim,NA,NA,B1,signal
-2186 59 53,block_signal_victim,NA,NA,C1,signal
-2186 59 47,block_signal_victim,NA,NA,C2,signal
-2163 59 45,block_signal_victim,NA,NA,D2,signal
-2163 59 50,block_signal_victim,NA,NA,D1,signal
-2151 59 45,block_signal_victim,NA,NA,H1-H1A,signal
-2136 59 55,block_signal_victim,NA,NA,H1-H1A,signal
-2122 59 51,block_signal_victim,NA,NA,I1-I1A,signal
-2117 59 51,block_signal_victim,NA,NA,J1,signal
-2103 59 49,block_signal_victim,NA,NA,K1,signal
-2101 59 50,block_signal_victim,NA,NA,L1,signal
-2171 59 87,block_signal_victim,NA,NA,TR1,signal
-2171 59 84,block_signal_victim,NA,NA,TR2,signal
-2171 59 82,block_signal_victim,NA,NA,TR3,signal
-2171 59 79,block_signal_victim,NA,NA,TR4,signal
-2167 59 80,block_signal_victim,NA,NA,TR5,signal
-2169 59 83,block_signal_victim,NA,NA,TR6,signal
-2167 59 86,block_signal_victim,NA,NA,TR7,signal
-2139 59 87,block_signal_victim,NA,NA,CT1,signal
-2139 59 84,block_signal_victim,NA,NA,CT2,signal
-2139 59 82,block_signal_victim,NA,NA,CT3,signal
-2139 59 79,block_signal_victim,NA,NA,CT4,signal
-2135 59 80,block_signal_victim,NA,NA,CT5,signal
-2137 59 83,block_signal_victim,NA,NA,CT6,signal
-2135 59 86,block_signal_victim,NA,NA,CT7,signal
-2141 60 78,block_victim_proximity,NA,NA,CT4,Victim C
-2141 60 85,block_victim_1,NA,NA,CT2,Victim A
-2135 60 89,block_victim_1,NA,NA,CT7,Victim A
-2173 60 78,block_victim_proximity,NA,NA,TR4,Victim C
-2173 60 85,block_victim_1,NA,NA,TR2,Victim A
-2167 60 89,block_victim_1,NA,NA,TR7,Victim A
-2092 60 47,block_victim_proximity,NA,NA,L1,Victim C
-2092 60 51,gravel,NA,NA,L1,obstruction
-2092 60 52,gravel,NA,NA,L1,obstruction
-2092 60 53,gravel,NA,NA,L1,obstruction
-2092 61 51,gravel,NA,NA,L1,obstruction
-2092 61 52,gravel,NA,NA,L1,obstruction
-2092 61 53,gravel,NA,NA,L1,obstruction
-2092 62 52,gravel,NA,NA,L1,obstruction
-2096 60 44,gravel,NA,NA,M1,obstruction
-2096 60 45,gravel,NA,NA,M1,obstruction
-2096 61 44,gravel,NA,NA,M1,obstruction
-2096 61 45,gravel,NA,NA,M1,obstruction
-2096 62 45,gravel,NA,NA,M1,obstruction
-2098 60 47,gravel,NA,NA,L1,obstruction
-2098 60 48,gravel,NA,NA,L1,obstruction
-2098 60 49,gravel,NA,NA,L1,obstruction
-2098 60 50,gravel,NA,NA,L1,obstruction
