LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2157 60 -1,gravel,NA,NA,NA,obstruction
-2157 60 0,gravel,NA,NA,NA,obstruction
-2156 60 -1,gravel,NA,NA,NA,obstruction
-2156 60 0,gravel,NA,NA,NA,obstruction
-2155 60 -1,gravel,NA,NA,NA,obstruction
-2155 60 0,gravel,NA,NA,NA,obstruction
-2154 60 -1,gravel,NA,NA,NA,obstruction
-2154 60 0,gravel,NA,NA,NA,obstruction
-2153 60 -1,gravel,NA,NA,NA,obstruction
-2153 60 0,gravel,NA,NA,NA,obstruction
-2152 60 -1,gravel,NA,NA,NA,obstruction
-2152 60 0,gravel,NA,NA,NA,obstruction
-2151 60 -1,gravel,NA,NA,NA,obstruction
-2151 60 0,gravel,NA,NA,NA,obstruction
-2157 61 -1,gravel,NA,NA,NA,obstruction
-2157 61 0,gravel,NA,NA,NA,obstruction
-2156 61 -1,gravel,NA,NA,NA,obstruction
-2156 61 0,gravel,NA,NA,NA,obstruction
-2155 61 -1,gravel,NA,NA,NA,obstruction
-2155 61 0,gravel,NA,NA,NA,obstruction
-2154 61 -1,gravel,NA,NA,NA,obstruction
-2154 61 0,gravel,NA,NA,NA,obstruction
-2153 61 -1,gravel,NA,NA,NA,obstruction
-2153 61 0,gravel,NA,NA,NA,obstruction
-2152 61 -1,gravel,NA,NA,NA,obstruction
-2152 61 0,gravel,NA,NA,NA,obstruction
-2151 61 -1,gravel,NA,NA,NA,obstruction
-2151 61 0,gravel,NA,NA,NA,obstruction
-2157 62 -1,gravel,NA,NA,NA,obstruction
-2157 62 0,gravel,NA,NA,NA,obstruction
-2156 62 -1,gravel,NA,NA,NA,obstruction
-2156 62 0,gravel,NA,NA,NA,obstruction
-2155 62 -1,gravel,NA,NA,NA,obstruction
-2155 62 0,gravel,NA,NA,NA,obstruction
-2154 62 -1,gravel,NA,NA,NA,obstruction
-2154 62 0,gravel,NA,NA,NA,obstruction
-2153 62 -1,gravel,NA,NA,NA,obstruction
-2153 62 0,gravel,NA,NA,NA,obstruction
-2152 62 -1,gravel,NA,NA,NA,obstruction
-2152 62 0,gravel,NA,NA,NA,obstruction
-2151 62 -1,gravel,NA,NA,NA,obstruction
-2151 62 0,gravel,NA,NA,NA,obstruction
-2157 60 59,gravel,NA,NA,NA,obstruction
-2157 60 58,gravel,NA,NA,NA,obstruction
-2156 60 59,gravel,NA,NA,NA,obstruction
-2156 60 58,gravel,NA,NA,NA,obstruction
-2155 60 59,gravel,NA,NA,NA,obstruction
-2155 60 58,gravel,NA,NA,NA,obstruction
-2154 60 59,gravel,NA,NA,NA,obstruction
-2154 60 58,gravel,NA,NA,NA,obstruction
-2153 60 59,gravel,NA,NA,NA,obstruction
-2153 60 58,gravel,NA,NA,NA,obstruction
-2152 60 59,gravel,NA,NA,NA,obstruction
-2152 60 58,gravel,NA,NA,NA,obstruction
-2151 60 59,gravel,NA,NA,NA,obstruction
-2151 60 58,gravel,NA,NA,NA,obstruction
-2157 61 59,gravel,NA,NA,NA,obstruction
-2157 61 58,gravel,NA,NA,NA,obstruction
-2156 61 59,gravel,NA,NA,NA,obstruction
-2156 61 58,gravel,NA,NA,NA,obstruction
-2155 61 59,gravel,NA,NA,NA,obstruction
-2155 61 58,gravel,NA,NA,NA,obstruction
-2154 61 59,gravel,NA,NA,NA,obstruction
-2154 61 58,gravel,NA,NA,NA,obstruction
-2153 61 59,gravel,NA,NA,NA,obstruction
-2153 61 58,gravel,NA,NA,NA,obstruction
-2152 61 59,gravel,NA,NA,NA,obstruction
-2152 61 58,gravel,NA,NA,NA,obstruction
-2151 61 59,gravel,NA,NA,NA,obstruction
-2151 61 58,gravel,NA,NA,NA,obstruction
-2157 62 59,gravel,NA,NA,NA,obstruction
-2157 62 58,gravel,NA,NA,NA,obstruction
-2156 62 59,gravel,NA,NA,NA,obstruction
-2156 62 58,gravel,NA,NA,NA,obstruction
-2155 62 59,gravel,NA,NA,NA,obstruction
-2155 62 58,gravel,NA,NA,NA,obstruction
-2154 62 59,gravel,NA,NA,NA,obstruction
-2154 62 58,gravel,NA,NA,NA,obstruction
-2153 62 59,gravel,NA,NA,NA,obstruction
-2153 62 58,gravel,NA,NA,NA,obstruction
-2152 62 59,gravel,NA,NA,NA,obstruction
-2152 62 58,gravel,NA,NA,NA,obstruction
-2151 62 59,gravel,NA,NA,NA,obstruction
-2151 62 58,gravel,NA,NA,NA,obstruction

