LocationXYZ,BlockType,Command,CommandOptions,RoomName,FeatureType
-2084 60 145,block_victim_1,,,Open Break Area,Victim
-2063 60 145,block_victim_2,,,Executive Suite 1,Victim
-2059 61 148,air,,,Executive Suite 1,Opening - Passable
-2059 62 148,air,,,Executive Suite 1,Opening - Passable
-2059 63 148,air,,,Executive Suite 1,Opening - Passable
-2059 64 148,air,,,Executive Suite 1,Opening - Passable
-2053 60 147,block_victim_1,,,Executive Suite 2,Victim
-2047 60 149,block_victim_1,,,Executive Suite 2,Victim
-2044 61 145,air,,,Executive Suite 2,Opening - Passable
-2044 62 145,air,,,Executive Suite 2,Opening - Passable
-2044 63 145,air,,,Executive Suite 2,Opening - Passable
-2044 64 145,air,,,Executive Suite 2,Opening - Passable
-2025 60 147,block_victim_1,,,The King's Terrace,Victim
-2027 60 158,block_victim_2,,,The King's Terrace,Victim
-2029 61 159,air,,,King Chris's Office,Opening - Passable
-2029 62 159,air,,,King Chris's Office,Opening - Passable
-2029 63 159,air,,,King Chris's Office,Opening - Passable
-2029 64 159,air,,,King Chris's Office,Opening - Passable
-2029 61 160,air,,,Room 101,Opening - Passable
-2029 62 160,air,,,Room 101,Opening - Passable
-2029 63 160,air,,,Room 101,Opening - Passable
-2029 64 160,air,,,Room 101,Opening - Passable
-2030 61 159,air,,,King Chris's Office,Opening - Passable
-2030 62 159,air,,,King Chris's Office,Opening - Passable
-2030 63 159,air,,,King Chris's Office,Opening - Passable
-2030 64 159,air,,,King Chris's Office,Opening - Passable
-2030 61 160,air,,,Room 101,Opening - Passable
-2030 62 160,air,,,Room 101,Opening - Passable
-2030 63 160,air,,,Room 101,Opening - Passable
-2030 64 160,air,,,Room 101,Opening - Passable
-2034 60 164,block_victim_1,,,Room 101,Victim
-2029 60 170,block_victim_1,,,Room 102,Victim
-2029 60 176,block_victim_2,,,Room 102,Victim
-2032 60 176,block_victim_1,,,Room 102,Victim
-2031 60 177,air,,,Room 102,Opening - Passable
-2031 61 177,air,,,Room 102,Opening - Passable
-2031 61 178,air,,,Room 102,Opening - Passable
-2031 62 178,air,,,Room 102,Opening - Passable
-2031 63 178,air,,,Room 102,Opening - Passable
-2031 64 178,air,,,Room 102,Opening - Passable
-2029 60 185,block_victim_2,,,Room 103,Victim
-2030 60 190,block_victim_1,,,Room 103,Victim
