"LocationXYZ","BlockType","Command","CommandOptions","RoomName","FeatureType"
"-2223 60 -6","gravel",NA,NA,NA,"obstruction"
"-2223 61 -6","gravel",NA,NA,NA,"obstruction"
"-2221 60 -6","gravel",NA,NA,NA,"obstruction"
"-2221 61 -6","gravel",NA,NA,NA,"obstruction"
"-2223 60 -5","gravel",NA,NA,NA,"obstruction"
"-2223 61 -5","gravel",NA,NA,NA,"obstruction"
"-2222 60 -5","block_victim_1",NA,NA,NA,"victim"
"-2221 60 -5","gravel",NA,NA,NA,"obstruction"
"-2221 61 -5","gravel",NA,NA,NA,"obstruction"
"-2223 60 -4","gravel",NA,NA,NA,"obstruction"
"-2223 61 -4","gravel",NA,NA,NA,"obstruction"
"-2223 62 -4","gravel",NA,NA,NA,"obstruction"
"-2222 60 -4","gravel",NA,NA,NA,"obstruction"
"-2222 61 -4","gravel",NA,NA,NA,"obstruction"
"-2222 62 -4","gravel",NA,NA,NA,"obstruction"
"-2221 60 -4","gravel",NA,NA,NA,"obstruction"
"-2221 61 -4","gravel",NA,NA,NA,"obstruction"
"-2221 62 -4","gravel",NA,NA,NA,"obstruction"
"-2217 60 -2","gravel",NA,NA,NA,"obstruction"
"-2217 61 -2","gravel",NA,NA,NA,"obstruction"
"-2217 62 -2","gravel",NA,NA,NA,"obstruction"
"-2216 60 -2","gravel",NA,NA,NA,"obstruction"
"-2216 61 -2","gravel",NA,NA,NA,"obstruction"
"-2217 60 -1","block_victim_1",NA,NA,NA,"victim"
"-2216 60 -1","block_victim_1",NA,NA,NA,"victim"
"-2143 60 -1","gravel",NA,NA,NA,"obstruction"
"-2143 61 -1","gravel",NA,NA,NA,"obstruction"
"-2143 62 -1","gravel",NA,NA,NA,"obstruction"
"-2142 60 -1","gravel",NA,NA,NA,"obstruction"
"-2142 61 -1","gravel",NA,NA,NA,"obstruction"
"-2141 60 -1","gravel",NA,NA,NA,"obstruction"
"-2141 61 -1","gravel",NA,NA,NA,"obstruction"
"-2131 60 -1","gravel",NA,NA,NA,"obstruction"
"-2131 61 -1","gravel",NA,NA,NA,"obstruction"
"-2129 60 -1","gravel",NA,NA,NA,"obstruction"
"-2129 61 -1","gravel",NA,NA,NA,"obstruction"
"-2115 60 -1","gravel",NA,NA,NA,"obstruction"
"-2115 61 -1","gravel",NA,NA,NA,"obstruction"
"-2113 60 -1","block_victim_1",NA,NA,NA,"victim"
"-2111 60 -1","gravel",NA,NA,NA,"obstruction"
"-2111 61 -1","gravel",NA,NA,NA,"obstruction"
"-2204 60 0","gravel",NA,NA,NA,"obstruction"
"-2204 61 0","gravel",NA,NA,NA,"obstruction"
"-2204 62 0","gravel",NA,NA,NA,"obstruction"
"-2195 60 0","gravel",NA,NA,NA,"obstruction"
"-2195 61 0","gravel",NA,NA,NA,"obstruction"
"-2194 60 0","gravel",NA,NA,NA,"obstruction"
"-2194 61 0","gravel",NA,NA,NA,"obstruction"
"-2193 60 0","gravel",NA,NA,NA,"obstruction"
"-2193 61 0","gravel",NA,NA,NA,"obstruction"
"-2182 60 0","gravel",NA,NA,NA,"obstruction"
"-2182 61 0","gravel",NA,NA,NA,"obstruction"
"-2181 60 0","block_victim_1",NA,NA,NA,"victim"
"-2178 60 0","gravel",NA,NA,NA,"obstruction"
"-2178 61 0","gravel",NA,NA,NA,"obstruction"
"-2143 60 0","gravel",NA,NA,NA,"obstruction"
"-2143 61 0","gravel",NA,NA,NA,"obstruction"
"-2143 62 0","gravel",NA,NA,NA,"obstruction"
"-2141 60 0","gravel",NA,NA,NA,"obstruction"
"-2141 61 0","gravel",NA,NA,NA,"obstruction"
"-2131 60 0","gravel",NA,NA,NA,"obstruction"
"-2131 61 0","gravel",NA,NA,NA,"obstruction"
"-2130 60 0","gravel",NA,NA,NA,"obstruction"
"-2130 61 0","gravel",NA,NA,NA,"obstruction"
"-2130 62 0","gravel",NA,NA,NA,"obstruction"
"-2129 60 0","gravel",NA,NA,NA,"obstruction"
"-2129 61 0","gravel",NA,NA,NA,"obstruction"
"-2129 62 0","gravel",NA,NA,NA,"obstruction"
"-2115 60 0","gravel",NA,NA,NA,"obstruction"
"-2115 61 0","gravel",NA,NA,NA,"obstruction"
"-2114 60 0","gravel",NA,NA,NA,"obstruction"
"-2114 61 0","gravel",NA,NA,NA,"obstruction"
"-2114 62 0","gravel",NA,NA,NA,"obstruction"
"-2113 60 0","gravel",NA,NA,NA,"obstruction"
"-2113 61 0","gravel",NA,NA,NA,"obstruction"
"-2113 62 0","gravel",NA,NA,NA,"obstruction"
"-2112 60 0","gravel",NA,NA,NA,"obstruction"
"-2112 61 0","gravel",NA,NA,NA,"obstruction"
"-2112 62 0","gravel",NA,NA,NA,"obstruction"
"-2111 60 0","gravel",NA,NA,NA,"obstruction"
"-2111 61 0","gravel",NA,NA,NA,"obstruction"
"-2206 60 1","gravel",NA,NA,NA,"obstruction"
"-2206 61 1","gravel",NA,NA,NA,"obstruction"
"-2204 60 1","gravel",NA,NA,NA,"obstruction"
"-2204 61 1","gravel",NA,NA,NA,"obstruction"
"-2204 62 1","gravel",NA,NA,NA,"obstruction"
"-2202 60 1","block_victim_1",NA,NA,NA,"victim"
"-2195 60 1","gravel",NA,NA,NA,"obstruction"
"-2195 61 1","gravel",NA,NA,NA,"obstruction"
"-2194 60 1","block_victim_proximity",NA,NA,NA,"victim"
"-2182 60 1","gravel",NA,NA,NA,"obstruction"
"-2182 61 1","gravel",NA,NA,NA,"obstruction"
"-2182 62 1","gravel",NA,NA,NA,"obstruction"
"-2181 60 1","gravel",NA,NA,NA,"obstruction"
"-2181 61 1","gravel",NA,NA,NA,"obstruction"
"-2181 62 1","gravel",NA,NA,NA,"obstruction"
"-2180 60 1","gravel",NA,NA,NA,"obstruction"
