Non-conformant filenames
Note: These files have names that do not conform to the typical filename structure, either by design or by accident. Most concern all Teams, Members and Trials in the study, not one.


Survey filenames
Note: These files contain survey data, typically for all Teams, Members and Trials in the study, not one.
Surveys1Fulltext
Surveys1Numeric
Surveys1Numeric
Surveys2Fulltext
Surveys2Numeric
Surveys2Numeric
Surveys3Fulltext
Surveys3Numeric
Surveys3Numeric
Surveys4Fulltext
Surveys4Numeric
Surveys4Numeric
Surveys5Fulltext
Surveys5Numeric
Surveys5Numeric

Conformant filenames
Note: These files concern a specific Team, team Member, or Trial in the study. Their file names conform to the typical filename structure.
Team	Member	Trial	ClientAudio	Log-ASI-SIFT-TA1	Log-ASI-USC-TA1	OBVideo	TrialMessages	
Team-TM000061	Member-P000379	Trial-T000409	1	0	0	1	0	
Team-TM000061	Member-P000380	Trial-T000409	1	0	0	1	0	
Team-TM000061	Member-P000381	Trial-T000409	1	0	0	1	0	
Team-TM000061	Member-P000379	Trial-T000410	1	0	0	1	0	
Team-TM000061	Member-P000380	Trial-T000410	1	0	0	1	0	
Team-TM000061	Member-P000381	Trial-T000410	1	0	0	1	0	
Team-TM000061	Member-P000379	Trial-T000411	1	0	0	1	0	
Team-TM000061	Member-P000380	Trial-T000411	1	0	0	1	0	
Team-TM000061	Member-P000381	Trial-T000411	1	0	0	1	0	
Team-TM000062	Member-P000382	Trial-T000412	1	0	0	1	0	
Team-TM000062	Member-P000383	Trial-T000412	1	0	0	1	0	
Team-TM000062	Member-P000384	Trial-T000412	1	0	0	1	0	
Team-TM000062	Member-P000382	Trial-T000413	1	0	0	1	0	
Team-TM000062	Member-P000383	Trial-T000413	1	0	0	1	0	
Team-TM000062	Member-P000384	Trial-T000413	1	0	0	1	0	
Team-TM000062	Member-P000382	Trial-T000414	1	0	0	1	0	
Team-TM000062	Member-P000383	Trial-T000414	1	0	0	1	0	
Team-TM000062	Member-P000384	Trial-T000414	1	0	0	1	0	
Team-TM000063	Member-P000385	Trial-T000415	1	0	0	1	0	
Team-TM000063	Member-P000386	Trial-T000415	1	0	0	1	0	
Team-TM000063	Member-P000387	Trial-T000415	1	0	0	1	0	
Team-TM000063	Member-P000385	Trial-T000416	1	0	0	1	0	
Team-TM000063	Member-P000386	Trial-T000416	1	0	0	1	0	
